"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IZXTLNE7","book","1933","Gershoy, Leo","The French revolution and Napoleon","","","","","","","1933","2025-03-24 19:13:30","2025-03-24 19:32:22","","","576","","","","","","","","","","F. S. Crofts & co","New York","","","","","","Library Catalog (Blacklight)","DC148 .G4","","","","https://catalog.libraries.psu.edu/catalog/824929","physical","History; Consulate and First Empire, 1799-1815; France; Napoleon; Revolution, 1789-1799","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFJZNUIY","book","1970","Furet, François; Richet, Denis","French Revolution","","","","","","","1970","2025-03-24 19:14:39","2025-03-24 19:33:06","","","416","","","","","","","","","","Macmillan","New York]","","","","","","Library Catalog (Blacklight)","DC148 .F8713 1970b","","","","https://catalog.libraries.psu.edu/catalog/2170251","physical","History; France; Revolution, 1789-1799","","","","","","","","","","","","","","","","","","","","[1st American ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4A9SWHR4","book","1988","Bosher, J. F.","The French Revolution","","978-0-393-02588-0","","","","","1988","2025-03-24 19:15:15","2025-03-24 19:32:41","","","353","","","","","","Revolutions in the modern world","","","","W.W. Norton","New York","","","","","","Library Catalog (Blacklight)","DC148 .B69 1988","","","","https://catalog.libraries.psu.edu/catalog/437070","physical","History; France; Revolution, 1789-1799; History Influence","","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FW778BZI","book","1996","Furet, François","The French Revolution, 1770-1814","","978-0-631-20299-8","","","","","1996","2025-03-24 19:15:58","2025-03-24 19:32:34","","","320","","","","","","History of France","","","","Blackwell","Oxford, UK ; Cambridge, Mass., USA","eng","","","","","Library Catalog (Blacklight)","DC148 .F87213 1996","","","","https://catalog.libraries.psu.edu/catalog/2168740","physical","History; Consulate and First Empire, 1799-1815; France; Napoleon; Revolution, 1789-1799; Influence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHTMZ22N","book","2015","Jaurès, Jean; Abidor, Mitchell; Heller, Henry","A socialist history of the French revolution","","978-0-7453-3500-1 978-0-7453-3499-8","","","","","2015","2025-03-24 19:16:33","2025-03-24 19:33:17","","","259","","","","","","","","","","Pluto Press","London","eng","","","","","Library Catalog (Blacklight)","DC148 .J3813 2015","OCLC: 910104145","","","https://catalog.libraries.psu.edu/catalog/16418147","physical","History; France; Revolution, 1789-1799; 1789 - 1799; Causes; History Causes; Revolution (France : 1789-1799); Socialism; War","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V2JXEN6J","book","1990","Hobsbawm, E. J.","Echoes of the Marseillaise: two centuries look back on the French Revolution","","978-0-8135-1523-6 978-0-8135-1524-3","","","","","1990","2025-03-24 19:17:14","2025-03-24 19:33:12","","","144","","","","","Echoes of the Marseillaise","Mason Welch Gross lecture series","","","","Rutgers University Press","New Brunswick, N.J","","","","","","Library Catalog (Blacklight)","DC148 .H56 1990","","","","https://catalog.libraries.psu.edu/catalog/499133","physical","France; Revolution, 1789-1799; History Influence; History Historiography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WFIB3UA","book","1971","Godechot, Jacques Léon","The counter-revolution: doctrine and action, 1789-1804","","","","","","","1971","2025-03-24 19:17:54","2025-03-24 19:32:48","","","405","","","","","The counter-revolution","","","","","H. Fertig","New York","","","","","","Library Catalog (Blacklight)","DC148 .G5513 1971","","","","https://catalog.libraries.psu.edu/catalog/824935","physical","History; France; Revolution, 1789-1799; 1789-1815; History Foreign public opinion","","","","","","","","","","","","","","","","","","","","1st American ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AI9UWLMH","book","2001","Censer, Jack Richard; Hunt, Lynn","Liberty, equality, fraternity: exploring the French Revolution","","978-0-271-02087-7 978-0-271-02088-4","","","","Book includes selected images and documents from the accompanying CD-ROM, prepared by the authors with the support of the Center for History and New Media at George Mason University and the American Social History Project at City University of New York. Features of the CD-ROM include primary documents (carefully chosen, translated, and placed in their proper historical contexts by a team of historians), songs, maps, and more than 300 images (caricatures, portraits, sculptures, and photographs of artifacts of material culture)--many previously available only to specialists in the field. These hard-to-find images, gathered from repositories in France and the United States, comprise an unparalleled and powerful visual record of the Revolution","2001","2025-03-24 19:18:46","2025-03-24 19:32:55","","","212","","","","","Liberty, equality, fraternity","","","","","Pennsylvania State University Press","University Park, Pa","","","","","","Library Catalog (Blacklight)","DC148 .C388 2001","","","","https://catalog.libraries.psu.edu/catalog/2140955","physical","History; France; Revolution, 1789-1799","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UF2UY3XR","book","2002","Nafziger, George F.","Historical dictionary of the Napoleonic era","","978-0-8108-4092-8","","","","","2002","2025-03-24 19:19:28","2025-03-24 19:33:01","","","353","","","","","","Historical dictionaries of ancient civilizations and historical eras","6","","","Scarecrow Press","Lanham, Md","","","","","","Library Catalog (Blacklight)","DC147 .N34 2002","OCLC: 46975153","","","https://catalog.libraries.psu.edu/catalog/2277500","physical","History; Consulate and First Empire, 1799-1815; France; Napoleon; Revolution, 1789-1799; Dictionaries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YNSURW6I","book","1989","","The French Revolution and intellectual history","","978-0-256-06856-6","","","","","1989","2025-03-24 19:20:34","2025-03-24 19:32:14","","","207","","","","","","","","","","Dorsey Press","Chicago, Ill","","","","","","Library Catalog (Blacklight)","DC147.8 .F7 1989","","","","https://catalog.libraries.psu.edu/catalog/953723","physical","France; Revolution, 1789-1799; History Causes; History Historiography; 18th century; Intellectual life","Censer, Jack Richard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
